Song Title,Artist Name,Key,BPM,Year,Style
Feel Good Inc.,Gorillaz,Ebm,138.520,2005,Hip-Hop,
Harder,Daft Punk,F#m,123,2001,house,
World,Bob Sinclar,G#m,127,2006,house,
I Put a Spell on You,Nina Simone,F#m,59,1965,Jazz,
Creep (feat. Haley Reinhart),Postmodern Jukebox,F,60,2015,Jazz,
Misty (Play-Along Backing Tracks),Jazz Standards,Eb,62,1954,Jazz,
Água de Beber,Astrud Gilberto,Am,74,1965,Jazz,
Feeling Good,Nina Simone,Gm,76,1965,Jazz,
Feeling Good,Michael Bublé,Ebm,77,2006,Jazz,
Samba da Benção,Bebel Gilberto,Db,81,2004,Jazz,
Them Changes,Thundercat,Ebm,81,2015,Jazz,
Is It a Crime,Sade,Cm,82,1985,Jazz,
Triste,Antônio Carlos Jobim,A,83,1967,Jazz,
O barquinho,João Gilberto & Antônio Carlos Jobim,G,86,1961,Jazz,
Summertime (Play-Along Backing Tracks),Jazz Standards,Am,88,1935,Jazz,
Don't Know Why,Norah Jones,Bb,88,2002,Jazz,
O pato,João Gilberto,D,88,1962,Jazz,
Eu sei que vou te amar,Antônio Carlos Jobim,Db,90,1987,Jazz,
Take It Easy My Brother Charlie,Astrud Gilberto,Am,96,1972,Jazz,
Manhã de Carnaval,Astrud Gilberto,Dm,96,1965,Jazz,
I Got a Woman,Ray Charles,A,99,1954,Jazz,
Goodbye Sadness (Tristeza),Astrud Gilberto,Bb,101,1967,Jazz,
Valerie ('68 version),Amy Winehouse,Eb,101,2011,Jazz,
Meditation,Frank Sinatra & Antônio Carlos Jobim,Bb,105,1967,Jazz,
Quiet Nights of Quiet Stars (Corcovado),Frank Sinatra & Antônio Carlos Jobim,Am,107,1967,Jazz,
Chameleon,Herbie Hancock,Bbm,111,1973,Jazz,
Brazil (Aquarela do Brasil),Antônio Carlos Jobim,Eb,111,1970,Jazz,
Fly Me to the Moon,Jazz Standards,Dm,115,1954,Jazz,
So Nice (Summer Samba),Astrud Gilberto,Db,116,1967,Jazz,
Cantaloupe Island,Herbie Hancock,Fm,116,1964,Jazz,
My Baby Just Cares for Me,Nina Simone,A,119,1959,Jazz,
If I Ain't Got You,Alicia Keys,G,119,2004,Jazz,
Is This Love,Groove Da Praia,A,120,2005,Jazz,
Bésame mucho (spanish vocal),1940s Standards,Cm,120,1941,Jazz,
Insensatez,Stan Getz & Luiz Bonfá,Am,128,1963,Jazz,
Corcovado (Quiet Nights of Quiet Stars),Astrud Gilberto & Stan Getz & João Gilberto,C,129,1964,Jazz,
Watermelon Man,Herbie Hancock,Fm,129,1962,Jazz,
