Song Title,Artist Name,Key,BPM,Year,Style
Lovely Day,Billy Ocean & YolanDa Brown & Ruti,A,94,2021,Soul,
Put Your Records On,Corinne Bailey Rae,A,96,2006,Soul,
Valerie (Live BBC Radio 1 in Lounge),Amy Winehouse,Eb,96,2007,Soul,
Just the Two of Us,Grover Washington Jr. & Bill Withers,Fm,96,1981,Soul,
Love Theory,Kirk Franklin,Bbm,97,2019,Soul,
Lovely Day,Bill Withers,E,98,1977,Soul,
Fly as Me,Silk Sonic,Em,100,2021,Soul,
Ordinary People,John Legend,F,100,2004,Soul,
My Cherie Amour,Stevie Wonder,Db,101,1969,Soul,
Sexual Healing (Kygo remix),Marvin Gaye,Eb,101,2013,Soul,
Valerie ('68 version),Amy Winehouse,Eb,101,2011,Soul,
Let's Stay Together,Al Green,F,101,1972,Soul,
High,Lighthouse Family,Bb,102,1998,Soul,
What's Going On,Marvin Gaye,E,102,1971,Soul,
You Know I'm No Good,Amy Winehouse,Dm,103,2006,Soul,
I Just Might,Bruno Mars,F,103,2026,Soul,
My Girl,The Temptations,C,105,1965,Soul,
Rolling in the Deep,Adele,Cm,105,2010,Soul,
Valerie,Amy Winehouse & Mark Ronson,Eb,106,2007,Soul,
Set Fire to the Rain,Adele,Dm,108,2011,Soul,
"In the Stone (Intro only),""Earth, Wind & Fire"",B,109,1979,Soul,"
Signed,Stevie Wonder,F,109,1970,soul,
For Once in My Life,Stevie Wonder,F,109,1968,Soul,
Un-Break My Heart,Toni Braxton,Bm,110,1996,Soul,
Never Too Much,Luther Vandross,Bm,110,1981,Soul,
Killing Me Softly,Luther Vandross,F,110,1994,Soul,
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,C,111,1968,Soul,
Say So,Doja Cat,D,111,2019,Soul,
Grenade,Bruno Mars,Dm,111,2010,Soul,
Stay,Rihanna & Mikky Ekko,Am,112,2012,Soul,
Save Room,John Legend,Am,112,2006,Soul,
Cold Sweat,James Brown,D,112,1967,soul,
Can't Help Falling in Love (Mark Ronson remix),Elvis (film),D,112,2022,Soul,
Skate,Silk Sonic,Dm,112,2021,Soul,
Feet Don't Fail Me Now,Joy Crookes,Bbm,113,2021,Soul,
Respect,Aretha Franklin,C,114,1967,Soul,
I'm Every Woman,Chaka Khan,Cm,115,1978,Soul,
We Are Family (album version),Sister Sledge,A,116,1979,Soul,
Treasure,Bruno Mars,Cm,116,2012,Soul,
Chain of Fools,Aretha Franklin,Cm,117,1967,Soul,
I Heard It Through the Grapevine,Marvin Gaye,Ebm,117,1968,Soul,
We Are Family (Radio Edit),Sister Sledge,A,119,1979,Soul,
Man I Need,Olivia Dean,Db,119,2025,Soul,
Isn't She Lovely,Stevie Wonder,E,119,1976,Soul,
If I Ain't Got You,Alicia Keys,G,119,2004,Soul,
I'm Every Woman,The Bodyguard (Whitney Houston),Cm,120,1993,Soul,
What a Fool Believes,The Doobie Brothers,Bbm,121,1978,Soul,
Back to Black,Amy Winehouse,Dm,123,2006,Soul,
Japanese Denim,Daniel Caesar,Eb,124,2016,Soul,
Cha Cha Cha,Bruno Mars,Cm,125,2026,Soul,
The Door,Teddy Swims,G#m,128,2023,Soul,
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,D,129,1967,Soul,
Sunny,Bobby Hebb,Em,129,1966,Soul,
On My Soul,Bruno Mars,Ebm,130,2026,Soul,
Something Serious,Bruno Mars,Am,132,2026,Soul,
All About That Bass,Meghan Trainor,A,134,2014,Soul,
I Say a Little Prayer,Aretha Franklin,A,134,1968,Soul,
You Are the Sunshine of My Life,Stevie Wonder,B,134,1972,Soul,
Hallelujah I Love Her So,Ray Charles,B,147,1956,Soul,
I Say a Little Prayer,Dionne Warwick,Em,148,1967,Soul,
Bang Bang,Ariana Grande,C,150,2014,Soul,
L-O-V-E,Nat King Cole,G,155,1964,Soul,
Proud Mary,Tina Turner & Ike Turner,D,156,1971,Soul,
Pink + White,Frank Ocean,Em,160,2016,Soul,
Happy,Pharrell Williams,Fm,160,2013,Soul,
Hit the Road Jack,Ray Charles,G#m,172,1961,Soul,
Count On Me,Bruno Mars,C,178,2010,Soul,
Love on the Brain,Rihanna,G,57.330,2016,Soul,
I Believe I Can Fly,R. Kelly,C,60.145,1996,Soul,
No Ordinary Love,Sade,Bm,83.170,1992,Soul,
Holding Back the Years,Simply Red,Am,86.120,1985,Soul,
The Lazy Song,Bruno Mars,B,87.500,2010,Soul,
Ocean Drive,Lighthouse Family,D,90.650,1995,Soul,
Stronger Than Me,Amy Winehouse,Dm,91.400,2003,Soul,
The Sweetest Taboo,Sade,Bbm,91.500,1985,Soul,
Sexual Healing,Marvin Gaye,Eb,94.400,1982,Soul,
Just the Two of Us,Bill Withers,Fm,95.890,1980,Soul,
Kiss of Life,Sade,F#m,97.075,1992,Soul,
Stars,Simply Red,G,103.710,1991,Soul,
Nothing Can Come Between Us,Sade,Fm,103.830,1988,Soul,
Would I Lie to You?,Charles & Eddie,G,103.978,1992,Soul,
How Deep Is Your Love,Bee Gees,Eb,103.980,1977,Soul,
I Just Might (68th Annual Grammy Performance),Bruno Mars,F,104.980,2026,Soul,
P.D.A. (We Just Don't Care),John Legend,B,111.500,2007,Soul,
Untitled (How Does It Feel),D'Angelo,D,112.620,2000,Soul,
Smooth Operator,Sade,Dm,119.300,1984,Soul,
Tears Dry On Their Own,Amy Winehouse,C#m,121.510,2006,Soul,
Don't Leave Me This Way,Thelma Houston,C,123.840,1973,Soul,
Papa Was a Rolling Stone,The Temptations,Bbm,123.972,1972,Soul,
Rehab,Amy Winehouse,C,145.500,2006,Soul,
Part-Time Lover,Stevie Wonder,Bbm,177.820,1985,Soul,
I Have Nothing,The Bodyguard (Whitney Houston),G,51,1993,Soundtrack,
I Don't Want to Miss a Thing,Aerosmith,D,61,1998,Soundtrack,
Always Remember Us This Way,A Star is Born (2018 film) (Lady Gaga),Am,65,2018,Soundtrack,
Escape (The Piña Colada Song),Jack Johnson (The Secret Life of Walter Mitty),A,67,2013,Soundtrack,
I Will Always Love You,The Bodyguard (Whitney Houston),A,67,1992,Soundtrack,
Thank You,Dido,B,80,1998,Soundtrack,
See You Again,Wiz Khalifa & Charlie Puth,Bb,80,2015,Soundtrack,
Love Me Like You Do,Ellie Goulding,Ab,95,2014,Soundtrack,
Shallow,A Star is Born (2018 film) (Lady Gaga & Bradley Cooper),G,96,2018,Soundtrack,
Stay,Zedd & Alessia Cara,Fm,102,2017,Soundtrack,
Upside Down,Jack Johnson,E,103,2006,Soundtrack,
All Star,Smash Mouth,F#,104,1999,Soundtrack,
Stayin' Alive,Bee Gees,Fm,105,1977,Soundtrack,
(I've Had) The Time of My Life,Dirty Dancing (Bill Medley & Jennifer Warnes),E,108,1987,Soundtrack,
Dance the Night,Barbie (2023 film) (Dua Lipa),Bm,110,2023,Soundtrack,
Don't You (Forget About Me),Simple Minds,E,111,1985,Soundtrack,
Can't Help Falling in Love (Mark Ronson remix),Elvis (film),D,112,2022,Soundtrack,
Can't Stop the Feeling,Trolls (Justin Timberlake),C,113,2016,Soundtrack,
Crazy in Love (2014 remix),Beyoncé,Dm,115,2014,Soundtrack,
You've Got a Friend in Me,Toy Story (Randy Newman),Eb,116,1995,Soundtrack,
I'm Every Woman,The Bodyguard (Whitney Houston),Cm,120,1993,Soundtrack,
Golden,KPop Demon Hunters,G,123,2025,Soundtrack,
Danza kuduro,Don Omar & Lucenzo,Am,130,2010,Soundtrack,
Accidentally in Love,Shrek 2 (film) (Counting Crows),G,138,2004,Soundtrack,
Iris,Goo Goo Dolls (City of Angels),D,155,1998,Soundtrack,
Happy,Pharrell Williams,Fm,160,2013,Soundtrack,
Footloose,Footloose (1984 film),A,174,1984,Soundtrack,
I'll Be There for You,The Rembrandts (Friends),A,191,1995,Soundtrack,
You're the One That I Want,Grease (film),Am,106.800,1978,Soundtrack,
Girls Just Want to Have Fun,Cyndi Lauper,F#,120.410,1983,Soundtrack,
It's Raining Men,Geri Halliwell,Fm,136.450,2001,Soundtrack,
I Smile,Kirk Franklin,Db,72,2011,Spiritual Music,
Love Theory,Kirk Franklin,Bbm,97,2019,Spiritual Music,
Never Tear Us Apart,INXS,Am,64,1988,Synthpop,
Electric Feel,MGMT,Cm,103,2007,Synthpop,
Finesse (remix),Bruno Mars & Cardi B,Fm,105,2018,Synthpop,
24K Magic,Bruno Mars,Fm,107,2016,Synthpop,
Don't You (Forget About Me),Simple Minds,E,111,1985,Synthpop,
Caribbean Queen (No More Love on the Run - Single Version),Billy Ocean,Dm,114,1984,Synthpop,
Save Your Tears (remix),The Weeknd & Ariana Grande,C,118,2021,Synthpop,
Save Your Tears,The Weeknd,C,118,2020,Synthpop,
Safe And Sound,Capital Cities,C,118,2011,Synthpop,
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Gb,119,1987,Synthpop,
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Dm,120,1979,Synthpop,
Sweet Dreams (Are Made of This),Eurythmics,Cm,125,1983,Synthpop,
I Love It,Icona Pop & Charli XCX,Ab,126,2012,Synthpop,
Dark Horse,Katy Perry & Juicy J,Bbm,132,2013,Synthpop,
It's Raining Men,Weather Girls,Fm,137,1982,Synthpop,
Blinding Lights,The Weeknd,Fm,171,2019,Synthpop,
Dancing with Myself,Billy Idol (Generation X),E,176,1981,Synthpop,
La Isla Bonita,Madonna,C#m,100.017,1986,Synthpop,
On Melancholy Hill,Gorillaz,D,120.410,2010,Synthpop,
Girls Just Want to Have Fun,Cyndi Lauper,F#,120.410,1983,Synthpop,
It's My Life,Talk Talk,Eb,126.310,1984,Synthpop,
Positions,Ariana Grande,Dm,72,2020,Teen pop,
Oops!... I Did It Again,Britney Spears,C#m,95,2000,Teen pop,
Work From Home,Fifth Harmony & Ty Dolla Sign,Fm,105,2016,Teen pop,
Sexyback,Justin Timberlake & Timbaland,Dm,117,2006,Teen pop,
Don't Cha (radio edit),The Pussycat Dolls,Bbm,120,2005,Teen pop,
Call Me Maybe,Carly Rae Jepsen,G,120,2011,Teen pop,
Baby,Justin Bieber & Ludacris,Eb,130,2010,Teen pop,
APT.,Rosé (로제) & Bruno Mars,Eb,149,2024,Teen pop,
Sk8er Boi,Avril Lavigne,D,150,2002,Teen pop,
Girlfriend,Avril Lavigne,D,164,2007,Teen pop,
I Want It That Way,Backstreet Boys,F#m,99.040,1999,Teen pop,
Rock Your Body,Justin Timberlake,Em,100.985,2002,Teen pop,
Big Girls Don't Cry,Fergie,G,113.090,2006,Teen pop,
Toxic,Britney Spears,Cm,142.980,2003,Teen pop,
Galway Girl,Ed Sheeran,F#m,100,2017,Traditional,
When the Saints Go Marching in (Big Band Version),Traditional,C,188.140,1896,Traditional,
Calm Down (remix),Rema & Selena Gomez,B,107,2022,Zouk/Creole/Soca/Calypso,
Calm Down,Rema,B,107,2022,Zouk/Creole/Soca/Calypso,
